INFO  - 2017-04-06 20:28:46.539; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-04-06 20:28:47.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.842; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-04-06 20:28:47.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-04-06 20:28:47.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-04-06 20:28:47.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-04-06 20:28:47.844; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-04-06 20:28:47.845; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/dist/solr-clustering-4.10.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-04-06 20:28:47.846; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-04-06 20:28:47.847; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/dist/solr-langid-4.10.2.jar' to classloader
